_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66ceb22c4b36e87ec5d7d204,,51.4,87.25,51.4,64.79,129;0;0;0,words,25,-1,1,30.12,0,6.82,false,false,english,none,normal,false,false,false,,1724822060000
66ceb2044b36e87ec5d7d0a2,,48.93,87.67,48.93,55.9,125;0;0;0,words,25,-1,1,30.66,0,22.43,false,false,english,none,normal,false,false,false,,1724822020000
66ceb1cb4b36e87ec5d7cec9,,44.54,86.11,44.54,57.16,123;0;0;0,words,25,-1,1,33.14,0,3.13,false,false,english,none,normal,false,false,false,,1724821963000
66ceb1a54b36e87ec5d7cd5e,,52.41,89.86,52.41,63.49,131;0;0;0,words,25,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1724821925000
66ceb1744b36e87ec5d7cb8f,,51.4,88.41,51.4,63.26,119;0;0;0,words,25,-1,0,27.78,0,0,false,false,english,none,normal,false,false,false,,1724821876000
66ceb1574b36e87ec5d7ca96,,48.14,86.33,48.14,60.82,117;0;0;0,words,25,-1,1,29.17,0,5.53,false,false,english,none,normal,false,false,false,,1724821847000
66ceb1334b36e87ec5d7c93f,,45.2,88.81,45.2,58.73,124;0;0;0,words,25,-1,8,32.92,0,91.33,false,false,english,none,normal,false,false,false,,1724821811000
66cc67d1251883fe34c499e0,,63.27,95.52,63.27,67.39,126;0;0;0,words,25,-1,1,23.9,0,7.42,false,false,english,none,normal,false,false,false,,1724671953000
66cc67af251883fe34c49865,,57.84,90.34,57.84,60.48,130;0;0;0,words,25,-1,3,26.97,0,30.45,false,false,english,none,normal,false,false,false,,1724671919000
66cc6771251883fe34c495a8,,51.74,89.92,51.74,61.24,114;0;0;0,words,25,-1,0,26.44,0,0,false,false,english,none,normal,false,false,false,,1724671857000
66cc6756251883fe34c4945a,,49.31,88.28,49.31,63.6,127;0;0;0,words,25,-1,3,30.91,0,28.27,false,false,english,none,normal,false,false,false,,1724671830000
66cc6714251883fe34c490db,,57.08,94.74,57.08,64.23,124;0;0;0,words,25,-1,2,26.07,0,1.87,false,false,english,none,normal,false,false,false,,1724671764000
66cc66f5251883fe34c48f4f,,50.18,88.11,50.18,65.77,125;0;0;0,words,25,-1,0,29.89,0,0,false,false,english,none,normal,false,false,false,,1724671733000
66cc66d5251883fe34c48dc2,,58.68,92.47,58.68,67.98,135;0;0;0,words,25,-1,0,27.61,0,0,false,false,english,none,normal,false,false,false,,1724671701000
66cc66b8251883fe34c48c71,,50.01,88.28,50.01,59.59,109;0;0;0,words,25,-1,2,26.15,0,12.27,false,false,english,none,normal,false,false,false,,1724671672000
66cc668d251883fe34c48a5a,,54.61,92.47,54.61,66.93,135;0;0;0,words,25,-1,1,29.67,0,5.98,false,false,english,none,normal,false,false,false,,1724671629000
66cc6660251883fe34c48847,,51,89.26,51,55.57,133;0;0;0,words,25,-1,5,31.29,1,75.04,false,false,english,none,normal,false,false,false,,1724671584000
66cb4977251883fe34ba8412,,55.36,89.19,55.36,60.71,130;0;0;0,words,25,-1,0,28.18,0,0,false,false,english,none,normal,false,false,false,,1724598647000
66cb4956251883fe34ba829c,,52.64,92,52.64,63.23,133;0;0;0,words,25,-1,7,30.32,0,39.08,false,false,english,none,normal,false,false,false,,1724598614000
66cb4906251883fe34ba7f36,,52.11,90.91,52.11,53.19,136;0;0;0,words,25,-1,4,31.32,0,11.66,false,false,english,none,normal,false,false,false,,1724598534000
66cb48da251883fe34ba7d60,,52.6,92.16,52.6,63.14,138;0;0;0,words,25,-1,0,31.48,0,0,false,false,english,none,normal,false,false,false,,1724598490000
66cb48b5251883fe34ba7bad,,57.49,90.14,57.49,66.97,128;0;0;0,words,25,-1,3,26.72,0,4.45,false,false,english,none,normal,false,false,false,,1724598453000
66cb4891251883fe34ba7a07,,55.18,92.36,55.18,62.44,131;0;0;0,words,25,-1,3,28.49,0,12.8,false,false,english,none,normal,false,false,false,,1724598417000
66c5696ecbf6e3c60fe5586c,,49.07,87.86,49.07,65.62,121;0;0;0,words,25,-1,0,29.59,0,0,false,false,english,none,normal,false,false,false,,1724213614000
66c5694fcbf6e3c60fe55714,,53.99,89.36,53.99,65.56,124;0;0;0,words,25,-1,3,27.56,0,28.37,false,false,english,none,normal,false,false,false,,1724213583000
66c56914cbf6e3c60fe5549a,,49.7,87.01,49.7,57.94,133;0;0;0,words,25,-1,4,32.11,0,34.58,false,false,english,none,normal,false,false,false,,1724213524000
66c568cacbf6e3c60fe551b0,,52.94,90.91,52.94,63.2,119;0;0;0,words,25,-1,2,26.97,0,25.03,false,false,english,none,normal,false,false,false,,1724213450000
66c5688dcbf6e3c60fe54f79,,61.94,93.8,61.94,60.26,121;0;0;0,words,25,-1,2,23.44,0,12.76,false,false,english,none,normal,false,false,false,,1724213389000
66c56865cbf6e3c60fe54dc1,,50.02,87.18,50.02,60.36,136;0;0;0,words,25,-1,4,32.63,0,2.86,false,false,english,none,normal,false,false,false,,1724213349000
66c56839cbf6e3c60fe54c1d,,47.29,87.97,47.29,58.02,133;0;0;0,words,25,-1,0,33.75,0,0,false,false,english,none,normal,false,false,false,,1724213305000
66c56816cbf6e3c60fe54abe,,54.42,93.01,55.67,68.98,130;0;0;1,words,25,-1,0,28.67,0,0,false,false,english,none,normal,false,false,false,,1724213270000
66c567f8cbf6e3c60fe5498a,,51.36,86.81,51.36,60.42,124;0;0;0,words,25,-1,0,28.97,0,0,false,false,english,none,normal,false,false,false,,1724213240000
